2F,2F,1,5,ζ,-2.0
2F,2F,1,7,ζ,1.5
3P,3P,2,0,ζ,-1.0
3P,3P,2,0,M0,10.166669845581055
3P,3P,2,0,M2,24.16666030883789
3P,3P,2,0,M4,27.348480224609375
3P,3P,2,0,P2,0.07962962239980698
3P,3P,2,0,P4,0.0159932691603899
3P,3P,2,0,P6,-0.056656330823898315
3P,1S,2,0,ζ,-3.464102029800415
3P,1S,2,0,M0,-9.814953804016113
3P,1S,2,0,M2,-0.5773503184318542
3P,1S,2,0,M4,-0.26243188977241516
3P,1S,2,0,P2,0.3143351078033447
3P,1S,2,0,P4,0.14287950098514557
3P,1S,2,0,P6,0.03925264999270439
3P,3P,2,2,ζ,-0.5
3P,3P,2,2,M0,5.0833330154418945
3P,3P,2,2,M2,12.083330154418945
3P,3P,2,2,M4,13.674240112304688
3P,3P,2,2,P2,0.03981481119990349
3P,3P,2,2,P4,0.007996629923582077
3P,3P,2,2,P6,-0.028328169137239456
3P,3P,2,4,ζ,0.5
3P,3P,2,4,M0,-5.0833330154418945
3P,3P,2,4,M2,-12.083330154418945
3P,3P,2,4,M4,-13.674240112304688
3P,3P,2,4,P2,-0.03981481119990349
3P,3P,2,4,P4,-0.007996629923582077
3P,3P,2,4,P6,0.028328169137239456
3P,1D,2,4,ζ,2.1213200092315674
3P,1D,2,4,M0,6.434670925140381
3P,1D,2,4,M2,0.9663789868354797
3P,1D,2,4,M4,0.824958086013794
3P,1D,2,4,P2,-0.12806490063667297
3P,1D,2,4,P4,0.008928109891712666
3P,1D,2,4,P6,0.02403724007308483
3F,3F,2,4,ζ,-2.0
3F,3F,2,4,M0,16.333330154418945
3F,3F,2,4,M2,1.6666669845581055
3F,3F,2,4,M4,-1.0606060028076172
3F,3F,2,4,P2,-0.003703719936311245
3F,3F,2,4,P4,-0.00841751042753458
3F,3F,2,4,P6,-0.022662529721856117
3F,1D,2,4,ζ,-2.4494900703430176
3F,1D,2,4,M0,-8.246615409851074
3F,1D,2,4,M2,-0.5715481042861938
3F,1D,2,4,M4,3.0804190635681152
3F,1D,2,4,P2,0.04808257147669792
3F,1D,2,4,P4,-0.0350516214966774
3F,1D,2,4,P6,0.027755819261074066
3F,3F,2,6,ζ,-0.5
3F,3F,2,6,M0,4.0833330154418945
3F,3F,2,6,M2,0.41666659712791443
3F,3F,2,6,M4,-0.2651515007019043
3F,3F,2,6,P2,-0.0009259299840778112
3F,3F,2,6,P4,-0.0021043799351900816
3F,3F,2,6,P6,-0.005665630102157593
3F,3F,2,8,ζ,1.5
3F,3F,2,8,M0,-12.25
3F,3F,2,8,M2,-1.25
3F,3F,2,8,M4,0.7954543828964233
3F,3F,2,8,P2,0.0027777899522334337
3F,3F,2,8,P4,0.006313129793852568
3F,3F,2,8,P6,0.016996899619698524
3F,1G,2,8,ζ,1.9148540496826172
3F,1G,2,8,M0,7.340273857116699
3F,1G,2,8,M2,-1.55702805519104
3F,1G,2,8,M4,2.035301923751831
3F,1G,2,8,P2,0.03191421926021576
3F,1G,2,8,P4,-0.03003864921629429
3F,1G,2,8,P6,0.005917559843510389
3H,3H,2,8,ζ,-3.0
3H,3H,2,8,M0,13.699999809265137
3H,3H,2,8,M2,-2.845453977584839
3H,3H,2,8,M4,-1.4917349815368652
3H,3H,2,8,P2,-0.07222221046686172
3H,3H,2,8,P4,-0.029155179858207703
3H,3H,2,8,P6,0.003090339945629239
3H,1G,2,8,ζ,-1.8257420063018799
3H,1G,2,8,M0,-8.094121932983398
3H,1G,2,8,M2,2.9894208908081055
3H,1G,2,8,M4,1.2029110193252563
3H,1G,2,8,P2,-0.05071505159139633
3H,1G,2,8,P4,0.02361113950610161
3H,1G,2,8,P6,0.005642170086503029
3H,3H,2,10,ζ,-0.5
3H,3H,2,10,M0,2.2833330631256104
3H,3H,2,10,M2,-0.4742423892021179
3H,3H,2,10,M4,-0.2486225962638855
3H,3H,2,10,P2,-0.01203703973442316
3H,3H,2,10,P4,-0.0048592002131044865
3H,3H,2,10,P6,0.0005150599754415452
3H,3H,2,12,ζ,2.5
3H,3H,2,12,M0,-11.416669845581055
3H,3H,2,12,M2,2.3712120056152344
3H,3H,2,12,M4,1.2431130409240723
3H,3H,2,12,P2,0.060185179114341736
3H,3H,2,12,P4,0.024295980110764503
3H,3H,2,12,P6,-0.00257528992369771
3H,1I,2,12,ζ,1.2247450351715088
3H,1I,2,12,M0,6.565992832183838
3H,1I,2,12,M2,-0.11340270191431046
3H,1I,2,12,M4,1.28603196144104
3H,1I,2,12,P2,0.03439868986606598
3H,1I,2,12,P4,-0.02667921967804432
3H,1I,2,12,P6,0.005709679797291756
4D,4D,3,1,ζ,-1.5
4D,4D,3,1,M0,11.899999618530273
4D,4D,3,1,M2,-18.100000381469727
4D,4D,3,1,M4,-19.409090042114258
4D,4D,3,1,P2,-0.1277777999639511
4D,4D,3,1,P4,-0.04292929172515869
4D,4D,3,1,P6,0.03399379923939705
4D,2P,3,1,ζ,-1.5811389684677124
4D,2P,3,1,M0,-2.424412965774536
4D,2P,3,1,M2,2.319003105163574
4D,2P,3,1,M4,-0.8145256042480469
4D,2P,3,1,P2,0.06441675871610641
4D,2P,3,1,P4,0.015971099957823753
4D,2P,3,1,P6,-0.03583259880542755
2P,2P,3,1,M0,4.666666030883789
2P,2P,3,1,M2,3.0000009536743164
2P,2P,3,1,M4,-6.3636369705200195
2P,2P,3,1,P2,-0.0962962731719017
2P,2P,3,1,P4,0.07575757056474686
2P,2P,3,1,P6,-0.045325059443712234
4S,2P,3,3,ζ,-2.4494900703430176
4S,2P,3,3,M0,-3.2659859657287598
4S,2P,3,3,M2,2.177324056625366
4S,2P,3,3,M4,-0.49484649300575256
4D,4D,3,3,ζ,-1.0
4D,4D,3,3,M0,7.933332920074463
4D,4D,3,3,M2,-12.066659927368164
4D,4D,3,3,M4,-12.939390182495117
4D,4D,3,3,P2,-0.08518517762422562
4D,4D,3,3,P4,-0.028619520366191864
4D,4D,3,3,P6,0.022662529721856117
4D,4F,3,3,M0,-1.9595919847488403
4D,4F,3,3,M2,2.939387083053589
4D,4F,3,3,M4,4.898979187011719
4D,2P,3,3,ζ,-1.1180340051651
4D,2P,3,3,M0,-1.7143189907073975
4D,2P,3,3,M2,1.6397830247879028
4D,2P,3,3,M4,-0.5759565830230713
4D,2P,3,3,P2,0.045549530535936356
4D,2P,3,3,P4,0.011293279938399792
4D,2P,3,3,P6,-0.025337470695376396
4D,2D1,3,3,ζ,0.18898220360279083
4D,2D1,3,3,M0,0.466156005859375
4D,2D1,3,3,M2,4.686758995056152
4D,2D1,3,3,M4,1.4603170156478882
4D,2D1,3,3,P2,-0.08469203114509583
4D,2D1,3,3,P4,0.036905620247125626
4D,2D1,3,3,P6,-0.004282820038497448
4D,2D2,3,3,ζ,-2.171241044998169
4D,2D2,3,3,M0,-5.3557257652282715
4D,2D2,3,3,M2,3.1099181175231934
4D,2D2,3,3,M4,4.12914514541626
4D,2D2,3,3,P2,0.07237468659877777
4D,2D2,3,3,P4,-0.012295049615204334
