Level number,Multiplet label,Calculated / cm^-1,Experimental / cm^-1,Δ / cm^-1,Comments for experimental data
107,4D7/2,39192,,,
108,4D7/2,39344,39360,-16,
109,2I11/2,40878,40871,7,
110,2I11/2,40948,40938,10,
111,2I11/2,40970,40968,2,
112,2I11/2,41011,41006,5,
113,2I11/2,41102,,,
114,2I11/2,41137,41138,-1,
115,2I11/2,41199,41206,-7,
116,2L17/2,41330,41318,12,
117,2L17/2,41421,,,
118,2L17/2,41487,41500,-13,
119,2L17/2,41514,,,
120,2L17/2,41558,41546,12,
121,2L17/2,41583,41571,12,
122,2L17/2,41616,41622,-6,
123,2L17/2,41732,41730,2,
124,4D3/2,42198,42208,-10,
125,4D3/2,42245,42260,-15,
126,2P3/2,42750,42759,-9,
127,2P3/2,42803,42804,-1,
128,2I13/2,43314,43310,4,
129,2I13/2,43346,,,
130,2I13/2,43399,43414,-15,
131,2I13/2,43452,43465,-13,
132,2I13/2,43648,43655,,Energy level not used in fitting.
133,2I13/2,43710,,,
134,2I13/2,43860,,,
