"ψi:simple","ψf:simple","ψi:idx","ψf:idx","Ei/K","Ef/K","λ/nm","Δλ/nm","τ/s","AMD/s^-1"
"4I9/2","4I9/2",2,1,44.,0.,227000.,7000.,1.22e-6,814000.
"4I9/2","4I9/2",3,1,148.,0.,67300.,600.,0.00013,7680.
"4I9/2","4I9/2",3,2,148.,44.,95000.,1000.,0.0000227,44000.
"4I9/2","4I9/2",4,1,299.,0.,33400.,100.,0.000237,4210.
"4I9/2","4I9/2",4,2,299.,44.,39100.,200.,0.000107,9280.
"4I9/2","4I9/2",4,3,299.,148.,66300.,600.,0.0000538,18500.
"4I9/2","4I9/2",5,1,508.,0.,19690.,50.,0.000482,2070.
"4I9/2","4I9/2",5,2,508.,44.,21550.,60.,0.0038,262.
"4I9/2","4I9/2",5,3,508.,148.,27800.,100.,0.000538,1850.
"4I9/2","4I9/2",5,4,508.,299.,47900.,300.,0.0000114,87600.
"4I11/2","4I9/2",6,1,1965.,0.,5088.,3.,0.068,14.6
"4I11/2","4I9/2",6,2,1965.,44.,5204.,3.,0.00143,694.
"4I11/2","4I9/2",6,3,1965.,148.,5504.,4.,0.0395,25.2
"4I11/2","4I9/2",6,4,1965.,299.,6002.,5.,0.0033,302.
"4I11/2","4I9/2",6,5,1965.,508.,6861.,6.,0.0000703,14200.
"4I11/2","4I9/2",7,1,2027.,0.,4933.,3.,0.000538,1850.
"4I11/2","4I9/2",7,2,2027.,44.,5042.,3.,0.1,9.92
"4I11/2","4I9/2",7,3,2027.,148.,5322.,4.,0.0332,30.
"4I11/2","4I9/2",7,4,2027.,299.,5787.,4.,0.000167,5960.
"4I11/2","4I9/2",7,5,2027.,508.,6581.,6.,0.00464,215.
"4I11/2","4I11/2",7,6,2027.,1965.,161000.,3000.,6.27e-7,1.59e6
"4I11/2","4I9/2",8,1,2071.,0.,4829.,3.,0.011,90.2
"4I11/2","4I9/2",8,2,2071.,44.,4934.,3.,0.0137,72.5
"4I11/2","4I9/2",8,3,2071.,148.,5202.,3.,0.0434,23.
"4I11/2","4I9/2",8,4,2071.,299.,5645.,4.,0.0239,41.8
"4I11/2","4I9/2",8,5,2071.,508.,6398.,5.,0.003,332.
"4I11/2","4I11/2",8,6,2071.,1965.,94000.,1000.,1.3e-7,7.64e6
"4I11/2","4I11/2",8,7,2071.,2027.,230000.,7000.,4.74e-6,210000.
"4I11/2","4I9/2",9,1,2090.,0.,4785.,3.,0.00434,230.
"4I11/2","4I9/2",9,2,2090.,44.,4887.,3.,0.000766,1300.
"4I11/2","4I9/2",9,3,2090.,148.,5150.,3.,0.0164,60.6
"4I11/2","4I9/2",9,4,2090.,299.,5584.,4.,2.94e-6,339000.
"4I11/2","4I9/2",9,5,2090.,508.,6320.,5.,0.000153,6510.
"4I11/2","4I11/2",9,6,2090.,1965.,80200.,900.,0.0000104,95800.
"4I11/2","4I11/2",9,7,2090.,2027.,159000.,3000.,1.17e-6,852000.
"4I11/2","4I11/2",9,8,2090.,2071.,510000.,30000.,5.56e-7,1.79e6
"4I11/2","4I9/2",10,1,2194.,0.,4558.,2.,0.0154,64.7
"4I11/2","4I9/2",10,2,2194.,44.,4651.,3.,0.0624,16.
"4I11/2","4I9/2",10,3,2194.,148.,4889.,3.,0.00383,260.
"4I11/2","4I9/2",10,4,2194.,299.,5278.,3.,0.000541,1840.
"4I11/2","4I9/2",10,5,2194.,508.,5931.,4.,0.0242,41.2
"4I11/2","4I11/2",10,6,2194.,1965.,43700.,200.,0.000049,20300.
"4I11/2","4I11/2",10,7,2194.,2027.,60000.,500.,0.000319,3130.
"4I11/2","4I11/2",10,8,2194.,2071.,81300.,900.,0.0000457,21800.
"4I11/2","4I11/2",10,9,2194.,2090.,96000.,1000.,6.67e-6,149000.
"4I11/2","4I9/2",11,1,2227.,0.,4490.,2.,0.00995,100.
"4I11/2","4I9/2",11,2,2227.,44.,4580.,2.,0.0000687,14500.
"4I11/2","4I9/2",11,3,2227.,148.,4811.,3.,0.000388,2570.
"4I11/2","4I9/2",11,4,2227.,299.,5187.,3.,0.00156,637.
"4I11/2","4I9/2",11,5,2227.,508.,5817.,4.,0.0275,36.3
"4I11/2","4I11/2",11,6,2227.,1965.,38200.,200.,0.000392,2540.
"4I11/2","4I11/2",11,7,2227.,2027.,50000.,300.,3.87e-7,2.57e6
"4I11/2","4I11/2",11,8,2227.,2071.,63900.,500.,0.0000181,55100.
"4I11/2","4I11/2",11,9,2227.,2090.,72900.,700.,9.49e-7,1.05e6
"4I11/2","4I11/2",11,10,2227.,2194.,300000.,10000.,2.73e-6,366000.
"4I13/2","4I9/2",12,1,3903.,0.,2562.3,0.9,0.000702,1420.
"4I13/2","4I9/2",12,2,3903.,44.,2591.5,0.9,0.00112,888.
"4I13/2","4I9/2",12,3,3903.,148.,2663.,1.,0.000927,1070.
"4I13/2","4I9/2",12,4,3903.,299.,2775.,1.,0.0057,175.
"4I13/2","4I9/2",12,5,3903.,508.,2945.,1.,0.0004,2490.
"4I13/2","4I11/2",12,6,3903.,1965.,5161.,3.,0.135,7.35
"4I13/2","4I11/2",12,7,3903.,2027.,5331.,4.,0.0112,88.5
"4I13/2","4I11/2",12,8,3903.,2071.,5458.,4.,0.00378,264.
"4I13/2","4I11/2",12,9,3903.,2090.,5516.,4.,0.00437,228.
"4I13/2","4I11/2",12,10,3903.,2194.,5850.,4.,0.000886,1120.
"4I13/2","4I11/2",12,11,3903.,2227.,5967.,5.,0.000047,21200.
"4I13/2","4I9/2",13,1,3970.,0.,2518.9,0.8,0.00489,204.
"4I13/2","4I9/2",13,2,3970.,44.,2547.1,0.9,0.00263,379.
"4I13/2","4I9/2",13,3,3970.,148.,2616.7,0.9,0.000136,7330.
"4I13/2","4I9/2",13,4,3970.,299.,2724.,1.,0.000411,2420.
"4I13/2","4I9/2",13,5,3970.,508.,2888.,1.,0.00135,737.
"4I13/2","4I11/2",13,6,3970.,1965.,4988.,3.,0.0016,621.
"4I13/2","4I11/2",13,7,3970.,2027.,5147.,3.,0.164,6.09
"4I13/2","4I11/2",13,8,3970.,2071.,5264.,3.,0.0564,17.7
"4I13/2","4I11/2",13,9,3970.,2090.,5318.,4.,0.00386,258.
"4I13/2","4I11/2",13,10,3970.,2194.,5629.,4.,0.000411,2430.
"4I13/2","4I11/2",13,11,3970.,2227.,5737.,4.,0.00171,582.
"4I13/2","4I13/2",13,12,3970.,3903.,148000.,3000.,8.58e-7,1.16e6
"4I13/2","4I9/2",14,1,4033.,0.,2479.2,0.8,0.000551,1810.
"4I13/2","4I9/2",14,2,4033.,44.,2506.5,0.8,0.00403,247.
"4I13/2","4I9/2",14,3,4033.,148.,2573.9,0.9,0.0107,93.1
"4I13/2","4I9/2",14,4,4033.,299.,2677.,1.,0.00388,257.
"4I13/2","4I9/2",14,5,4033.,508.,2836.,1.,0.00102,977.
"4I13/2","4I11/2",14,6,4033.,1965.,4834.,3.,0.00377,264.
"4I13/2","4I11/2",14,7,4033.,2027.,4984.,3.,0.014,71.1
"4I13/2","4I11/2",14,8,4033.,2071.,5094.,3.,0.0243,41.
"4I13/2","4I11/2",14,9,4033.,2090.,5144.,3.,0.00845,118.
"4I13/2","4I11/2",14,10,4033.,2194.,5434.,4.,0.0124,80.2
"4I13/2","4I11/2",14,11,4033.,2227.,5535.,4.,0.00058,1720.
"4I13/2","4I13/2",14,12,4033.,3903.,76400.,800.,0.0000189,52800.
"4I13/2","4I13/2",14,13,4033.,3970.,157000.,3000.,0.0000187,53400.
"4I13/2","4I9/2",15,1,4087.,0.,2446.5,0.8,0.000261,3820.
"4I13/2","4I9/2",15,2,4087.,44.,2473.1,0.8,0.000521,1910.
"4I13/2","4I9/2",15,3,4087.,148.,2538.7,0.9,0.0058,172.
"4I13/2","4I9/2",15,4,4087.,299.,2639.7,0.9,0.00283,353.
"4I13/2","4I9/2",15,5,4087.,508.,2793.,1.,4.22e-6,236000.
"4I13/2","4I11/2",15,6,4087.,1965.,4712.,3.,0.00354,282.
"4I13/2","4I11/2",15,7,4087.,2027.,4853.,3.,0.00171,583.
"4I13/2","4I11/2",15,8,4087.,2071.,4958.,3.,0.0129,77.3
"4I13/2","4I11/2",15,9,4087.,2090.,5006.,3.,0.119,8.35
"4I13/2","4I11/2",15,10,4087.,2194.,5280.,3.,0.00182,548.
"4I13/2","4I11/2",15,11,4087.,2227.,5374.,4.,0.00593,168.
"4I13/2","4I13/2",15,12,4087.,3903.,54100.,400.,0.0000244,40800.
"4I13/2","4I13/2",15,13,4087.,3970.,85000.,1000.,0.0000182,54700.
"4I13/2","4I13/2",15,14,4087.,4033.,185000.,4000.,0.0000241,41400.
"4I13/2","4I9/2",16,1,4116.,0.,2429.8,0.8,0.00584,171.
"4I13/2","4I9/2",16,2,4116.,44.,2456.,0.8,0.00669,149.
"4I13/2","4I9/2",16,3,4116.,148.,2520.7,0.8,0.0127,78.7
"4I13/2","4I9/2",16,4,4116.,299.,2620.2,0.9,0.0027,370.
"4I13/2","4I9/2",16,5,4116.,508.,2771.,1.,0.0032,311.
"4I13/2","4I11/2",16,6,4116.,1965.,4650.,3.,0.000635,1570.
"4I13/2","4I11/2",16,7,4116.,2027.,4788.,3.,0.0385,25.9
"4I13/2","4I11/2",16,8,4116.,2071.,4890.,3.,0.0127,78.5
"4I13/2","4I11/2",16,9,4116.,2090.,4936.,3.,0.000625,1590.
"4I13/2","4I11/2",16,10,4116.,2194.,5202.,3.,0.0674,14.8
"4I13/2","4I11/2",16,11,4116.,2227.,5294.,3.,0.0142,70.2
"4I13/2","4I13/2",16,12,4116.,3903.,46900.,300.,0.0000402,24800.
"4I13/2","4I13/2",16,13,4116.,3970.,68600.,600.,0.000145,6870.
"4I13/2","4I13/2",16,14,4116.,4033.,121000.,2000.,0.0000171,58300.
"4I13/2","4I13/2",16,15,4116.,4087.,350000.,10000.,1.76e-8,5.66e7
"4I13/2","4I9/2",17,1,4206.,0.,2377.8,0.7,0.00347,287.
"4I13/2","4I9/2",17,2,4206.,44.,2402.8,0.8,0.00294,340.
"4I13/2","4I9/2",17,3,4206.,148.,2464.7,0.8,0.00036,2770.
"4I13/2","4I9/2",17,4,4206.,299.,2559.8,0.9,0.00219,456.
"4I13/2","4I9/2",17,5,4206.,508.,2704.,1.,0.0143,69.8
"4I13/2","4I11/2",17,6,4206.,1965.,4463.,2.,0.0131,76.3
"4I13/2","4I11/2",17,7,4206.,2027.,4590.,2.,0.00094,1060.
"4I13/2","4I11/2",17,8,4206.,2071.,4683.,3.,0.00183,544.
"4I13/2","4I11/2",17,9,4206.,2090.,4726.,3.,0.0119,83.9
"4I13/2","4I11/2",17,10,4206.,2194.,4970.,3.,0.0142,70.3
"4I13/2","4I11/2",17,11,4206.,2227.,5053.,3.,0.0301,33.2
"4I13/2","4I13/2",17,12,4206.,3903.,33000.,100.,0.0000999,10000.
"4I13/2","4I13/2",17,13,4206.,3970.,42400.,200.,0.0000233,42800.
"4I13/2","4I13/2",17,14,4206.,4033.,58100.,400.,0.000334,2990.
"4I13/2","4I13/2",17,15,4206.,4087.,84000.,1000.,0.000017,58500.
"4I13/2","4I13/2",17,16,4206.,4116.,111000.,1000.,0.000105,9430.
"4I13/2","4I9/2",18,1,4267.,0.,2343.5,0.7,0.000575,1730.
"4I13/2","4I9/2",18,2,4267.,44.,2367.9,0.7,0.0000681,14600.
"4I13/2","4I9/2",18,3,4267.,148.,2427.9,0.8,0.003,332.
"4I13/2","4I9/2",18,4,4267.,299.,2520.2,0.8,0.0235,42.4
"4I13/2","4I9/2",18,5,4267.,508.,2660.,1.,0.000751,1330.
"4I13/2","4I11/2",18,6,4267.,1965.,4344.,2.,0.0209,47.8
"4I13/2","4I11/2",18,7,4267.,2027.,4464.,2.,0.000282,3540.
"4I13/2","4I11/2",18,8,4267.,2071.,4552.,2.,0.000283,3520.
"4I13/2","4I11/2",18,9,4267.,2090.,4592.,2.,0.00765,130.
"4I13/2","4I11/2",18,10,4267.,2194.,4822.,3.,0.00089,1120.
"4I13/2","4I11/2",18,11,4267.,2227.,4901.,3.,0.0294,33.9
"4I13/2","4I13/2",18,12,4267.,3903.,27400.,100.,0.00187,534.
"4I13/2","4I13/2",18,13,4267.,3970.,33600.,100.,0.0000859,11600.
"4I13/2","4I13/2",18,14,4267.,4033.,42800.,200.,0.0000126,79300.
"4I13/2","4I13/2",18,15,4267.,4087.,55600.,400.,0.000036,27700.
"4I13/2","4I13/2",18,16,4267.,4116.,66000.,600.,0.0000105,94500.
"4I13/2","4I13/2",18,17,4267.,4206.,162000.,3000.,0.0000343,29100.
"4I15/2","4I9/2",19,1,5796.,0.,1725.3,0.4,0.000424,2350.
"4I15/2","4I9/2",19,2,5796.,44.,1738.5,0.4,0.00062,1610.
"4I15/2","4I9/2",19,3,5796.,148.,1770.6,0.4,0.000305,3270.
"4I15/2","4I9/2",19,4,5796.,299.,1819.2,0.4,0.0000444,22400.
"4I15/2","4I9/2",19,5,5796.,508.,1891.,0.5,0.000037,26900.
"4I15/2","4I11/2",19,6,5796.,1965.,2610.4,0.9,0.0001,9950.
"4I15/2","4I11/2",19,7,5796.,2027.,2653.3,0.9,0.00205,486.
"4I15/2","4I11/2",19,8,5796.,2071.,2684.,1.,0.000689,1450.
"4I15/2","4I11/2",19,9,5796.,2090.,2698.,1.,0.0000186,53500.
"4I15/2","4I11/2",19,10,5796.,2194.,2775.,1.,0.000118,8410.
"4I15/2","4I11/2",19,11,5796.,2227.,2801.,1.,0.000564,1770.
"4I15/2","4I13/2",19,12,5796.,3903.,5281.,3.,0.0794,12.5
"4I15/2","4I13/2",19,13,5796.,3970.,5476.,4.,0.0329,30.3
"4I15/2","4I13/2",19,14,5796.,4033.,5674.,4.,0.015,66.3
"4I15/2","4I13/2",19,15,5796.,4087.,5852.,4.,0.0000136,73400.
"4I15/2","4I13/2",19,16,5796.,4116.,5951.,5.,0.00104,957.
"4I15/2","4I13/2",19,17,5796.,4206.,6287.,5.,0.00136,730.
"4I15/2","4I13/2",19,18,5796.,4267.,6540.,6.,0.0000891,11200.
"4I15/2","4I9/2",20,1,5864.,0.,1705.4,0.4,0.000402,2480.
"4I15/2","4I9/2",20,2,5864.,44.,1718.3,0.4,0.000951,1050.
"4I15/2","4I9/2",20,3,5864.,148.,1749.7,0.4,0.0000426,23400.
"4I15/2","4I9/2",20,4,5864.,299.,1797.1,0.4,0.000223,4470.
"4I15/2","4I9/2",20,5,5864.,508.,1867.1,0.4,0.000113,8800.
"4I15/2","4I11/2",20,6,5864.,1965.,2565.1,0.9,0.00038,2620.
"4I15/2","4I11/2",20,7,5864.,2027.,2606.5,0.9,0.00594,168.
"4I15/2","4I11/2",20,8,5864.,2071.,2636.4,0.9,0.00295,338.
"4I15/2","4I11/2",20,9,5864.,2090.,2649.8,0.9,0.000268,3720.
"4I15/2","4I11/2",20,10,5864.,2194.,2724.,1.,0.000352,2840.
"4I15/2","4I11/2",20,11,5864.,2227.,2749.,1.,0.00108,925.
"4I15/2","4I13/2",20,12,5864.,3903.,5099.,3.,0.0415,24.
"4I15/2","4I13/2",20,13,5864.,3970.,5280.,3.,0.0655,15.2
"4I15/2","4I13/2",20,14,5864.,4033.,5464.,4.,0.0411,24.3
"4I15/2","4I13/2",20,15,5864.,4087.,5629.,4.,0.000279,3570.
"4I15/2","4I13/2",20,16,5864.,4116.,5720.,4.,0.000925,1080.
"4I15/2","4I13/2",20,17,5864.,4206.,6031.,5.,0.000114,8710.
"4I15/2","4I13/2",20,18,5864.,4267.,6263.,5.,0.0000772,12900.
"4I15/2","4I15/2",20,19,5864.,5796.,147000.,3000.,0.0000135,73500.
"4I15/2","4I9/2",21,1,5991.,0.,1669.1,0.3,0.00147,677.
"4I15/2","4I9/2",21,2,5991.,44.,1681.4,0.3,0.000265,3760.
"4I15/2","4I9/2",21,3,5991.,148.,1711.5,0.4,0.000124,8030.
"4I15/2","4I9/2",21,4,5991.,299.,1756.8,0.4,0.0000656,15200.
"4I15/2","4I9/2",21,5,5991.,508.,1823.7,0.4,0.00016,6230.
"4I15/2","4I11/2",21,6,5991.,1965.,2483.9,0.8,0.00862,115.
"4I15/2","4I11/2",21,7,5991.,2027.,2522.7,0.9,0.00247,404.
"4I15/2","4I11/2",21,8,5991.,2071.,2550.7,0.9,0.00666,149.
"4I15/2","4I11/2",21,9,5991.,2090.,2563.3,0.9,0.00172,578.
"4I15/2","4I11/2",21,10,5991.,2194.,2633.3,0.9,0.000379,2630.
"4I15/2","4I11/2",21,11,5991.,2227.,2656.6,0.9,0.00243,410.
"4I15/2","4I13/2",21,12,5991.,3903.,4788.,3.,0.00155,642.
"4I15/2","4I13/2",21,13,5991.,3970.,4947.,3.,0.0243,41.
"4I15/2","4I13/2",21,14,5991.,4033.,5108.,3.,0.103,9.66
"4I15/2","4I13/2",21,15,5991.,4087.,5252.,3.,0.00191,521.
"4I15/2","4I13/2",21,16,5991.,4116.,5332.,4.,0.0299,33.3
"4I15/2","4I13/2",21,17,5991.,4206.,5600.,4.,0.000193,5160.
"4I15/2","4I13/2",21,18,5991.,4267.,5800.,4.,0.00025,3990.
"4I15/2","4I15/2",21,19,5991.,5796.,51200.,300.,0.000873,1140.
"4I15/2","4I15/2",21,20,5991.,5864.,78400.,800.,0.000323,3090.
"4I15/2","4I9/2",22,1,6155.,0.,1624.5,0.3,0.00093,1070.
"4I15/2","4I9/2",22,2,6155.,44.,1636.2,0.3,0.0000127,78400.
"4I15/2","4I9/2",22,3,6155.,148.,1664.7,0.3,0.00142,700.
"4I15/2","4I9/2",22,4,6155.,299.,1707.5,0.4,0.000729,1370.
"4I15/2","4I9/2",22,5,6155.,508.,1770.6,0.4,0.000678,1470.
"4I15/2","4I11/2",22,6,6155.,1965.,2386.4,0.8,0.00166,600.
"4I15/2","4I11/2",22,7,6155.,2027.,2422.2,0.8,0.00326,306.
"4I15/2","4I11/2",22,8,6155.,2071.,2448.,0.8,0.00269,371.
"4I15/2","4I11/2",22,9,6155.,2090.,2459.6,0.8,0.00208,479.
"4I15/2","4I11/2",22,10,6155.,2194.,2524.,0.9,0.000047,21200.
"4I15/2","4I11/2",22,11,6155.,2227.,2545.4,0.9,0.000908,1100.
"4I15/2","4I13/2",22,12,6155.,3903.,4438.,2.,0.00248,401.
"4I15/2","4I13/2",22,13,6155.,3970.,4575.,2.,0.00232,430.
"4I15/2","4I13/2",22,14,6155.,4033.,4712.,3.,0.0148,67.3
"4I15/2","4I13/2",22,15,6155.,4087.,4835.,3.,0.000316,3150.
"4I15/2","4I13/2",22,16,6155.,4116.,4902.,3.,0.0496,20.1
"4I15/2","4I13/2",22,17,6155.,4206.,5128.,3.,0.00917,108.
"4I15/2","4I13/2",22,18,6155.,4267.,5295.,3.,0.000673,1480.
"4I15/2","4I15/2",22,19,6155.,5796.,27800.,100.,3.7e-6,269000.
"4I15/2","4I15/2",22,20,6155.,5864.,34200.,100.,0.000549,1810.
"4I15/2","4I15/2",22,21,6155.,5991.,60700.,500.,0.000429,2320.
"4I15/2","4I9/2",23,1,6177.,0.,1618.9,0.3,0.0000179,55800.
"4I15/2","4I9/2",23,2,6177.,44.,1630.4,0.3,0.000881,1130.
"4I15/2","4I9/2",23,3,6177.,148.,1658.7,0.3,0.00109,910.
"4I15/2","4I9/2",23,4,6177.,299.,1701.2,0.4,0.00119,837.
"4I15/2","4I9/2",23,5,6177.,508.,1763.8,0.4,0.00077,1290.
"4I15/2","4I11/2",23,6,6177.,1965.,2374.2,0.7,0.00386,258.
"4I15/2","4I11/2",23,7,6177.,2027.,2409.6,0.8,0.00238,418.
"4I15/2","4I11/2",23,8,6177.,2071.,2435.1,0.8,0.000885,1120.
"4I15/2","4I11/2",23,9,6177.,2090.,2446.6,0.8,0.00103,970.
"4I15/2","4I11/2",23,10,6177.,2194.,2510.3,0.8,0.000217,4600.
"4I15/2","4I11/2",23,11,6177.,2227.,2531.5,0.9,0.00113,877.
"4I15/2","4I13/2",23,12,6177.,3903.,4396.,2.,0.00429,232.
"4I15/2","4I13/2",23,13,6177.,3970.,4530.,2.,0.000788,1260.
"4I15/2","4I13/2",23,14,6177.,4033.,4665.,3.,0.00201,496.
"4I15/2","4I13/2",23,15,6177.,4087.,4785.,3.,0.000933,1070.
"4I15/2","4I13/2",23,16,6177.,4116.,4850.,3.,0.0187,53.2
"4I15/2","4I13/2",23,17,6177.,4206.,5072.,3.,0.0000474,21000.
"4I15/2","4I13/2",23,18,6177.,4267.,5235.,3.,0.000469,2120.
"4I15/2","4I15/2",23,19,6177.,5796.,26230.,90.,0.00166,599.
"4I15/2","4I15/2",23,20,6177.,5864.,31900.,100.,0.0000699,14300.
"4I15/2","4I15/2",23,21,6177.,5991.,53700.,400.,0.000656,1520.
"4I15/2","4I15/2",23,22,6177.,6155.,460000.,30000.,1.e-6,998000.
"4I15/2","4I9/2",24,1,6305.,0.,1586.1,0.3,0.000804,1240.
"4I15/2","4I9/2",24,2,6305.,44.,1597.2,0.3,0.0000326,30600.
"4I15/2","4I9/2",24,3,6305.,148.,1624.3,0.3,8.99e-6,111000.
"4I15/2","4I9/2",24,4,6305.,299.,1665.1,0.3,0.000191,5230.
"4I15/2","4I9/2",24,5,6305.,508.,1725.,0.4,6.41e-6,155000.
"4I15/2","4I11/2",24,6,6305.,1965.,2304.3,0.7,0.00827,120.
"4I15/2","4I11/2",24,7,6305.,2027.,2337.7,0.7,0.000021,47500.
"4I15/2","4I11/2",24,8,6305.,2071.,2361.7,0.7,0.00442,226.
"4I15/2","4I11/2",24,9,6305.,2090.,2372.5,0.7,0.00173,577.
"4I15/2","4I11/2",24,10,6305.,2194.,2432.3,0.8,0.00751,133.
"4I15/2","4I11/2",24,11,6305.,2227.,2452.2,0.8,0.000765,1300.
"4I15/2","4I13/2",24,12,6305.,3903.,4162.,2.,0.00396,252.
"4I15/2","4I13/2",24,13,6305.,3970.,4282.,2.,0.000381,2620.
"4I15/2","4I13/2",24,14,6305.,4033.,4402.,2.,0.00086,1160.
"4I15/2","4I13/2",24,15,6305.,4087.,4509.,2.,0.00415,240.
"4I15/2","4I13/2",24,16,6305.,4116.,4567.,2.,0.0148,67.3
"4I15/2","4I13/2",24,17,6305.,4206.,4763.,3.,0.014,71.1
"4I15/2","4I13/2",24,18,6305.,4267.,4907.,3.,0.0000959,10400.
"4I15/2","4I15/2",24,19,6305.,5796.,19650.,50.,0.000148,6730.
"4I15/2","4I15/2",24,20,6305.,5864.,22660.,70.,0.000242,4130.
"4I15/2","4I15/2",24,21,6305.,5991.,31800.,100.,0.00083,1200.
"4I15/2","4I15/2",24,22,6305.,6155.,66900.,600.,0.000929,1070.
"4I15/2","4I15/2",24,23,6305.,6177.,78200.,800.,0.0000667,14900.
"4I15/2","4I9/2",25,1,6437.,0.,1553.5,0.3,0.0000912,10900.
"4I15/2","4I9/2",25,2,6437.,44.,1564.2,0.3,0.0000316,31600.
"4I15/2","4I9/2",25,3,6437.,148.,1590.2,0.3,0.00112,885.
"4I15/2","4I9/2",25,4,6437.,299.,1629.3,0.3,0.000243,4100.
"4I15/2","4I9/2",25,5,6437.,508.,1686.6,0.4,7.96e-6,125000.
"4I15/2","4I11/2",25,6,6437.,1965.,2236.3,0.7,0.000803,1240.
"4I15/2","4I11/2",25,7,6437.,2027.,2267.7,0.7,0.0000707,14100.
"4I15/2","4I11/2",25,8,6437.,2071.,2290.3,0.7,0.000684,1460.
"4I15/2","4I11/2",25,9,6437.,2090.,2300.4,0.7,0.0173,57.7
"4I15/2","4I11/2",25,10,6437.,2194.,2356.7,0.7,0.0000396,25200.
"4I15/2","4I11/2",25,11,6437.,2227.,2375.3,0.7,0.00253,393.
"4I15/2","4I13/2",25,12,6437.,3903.,3946.,2.,0.0177,56.2
"4I15/2","4I13/2",25,13,6437.,3970.,4053.,2.,0.000622,1600.
"4I15/2","4I13/2",25,14,6437.,4033.,4161.,2.,0.00121,820.
"4I15/2","4I13/2",25,15,6437.,4087.,4256.,2.,0.00286,349.
"4I15/2","4I13/2",25,16,6437.,4116.,4308.,2.,0.000592,1680.
"4I15/2","4I13/2",25,17,6437.,4206.,4481.,2.,0.00538,185.
"4I15/2","4I13/2",25,18,6437.,4267.,4608.,3.,0.000292,3410.
"4I15/2","4I15/2",25,19,6437.,5796.,15600.,30.,0.00126,793.
"4I15/2","4I15/2",25,20,6437.,5864.,17440.,40.,0.00132,752.
"4I15/2","4I15/2",25,21,6437.,5991.,22430.,70.,0.00159,626.
"4I15/2","4I15/2",25,22,6437.,6155.,35500.,100.,0.000029,34400.
"4I15/2","4I15/2",25,23,6437.,6177.,38500.,200.,0.000434,2300.
"4I15/2","4I15/2",25,24,6437.,6305.,75700.,800.,0.00039,2560.
"4I15/2","4I9/2",26,1,6530.,0.,1531.3,0.3,0.0000942,10600.
"4I15/2","4I9/2",26,2,6530.,44.,1541.6,0.3,0.0000805,12400.
"4I15/2","4I9/2",26,3,6530.,148.,1566.9,0.3,0.0000397,25100.
"4I15/2","4I9/2",26,4,6530.,299.,1604.8,0.3,0.00388,257.
"4I15/2","4I9/2",26,5,6530.,508.,1660.4,0.3,0.0000219,45400.
"4I15/2","4I11/2",26,6,6530.,1965.,2190.5,0.6,0.00119,839.
"4I15/2","4I11/2",26,7,6530.,2027.,2220.6,0.6,0.000222,4490.
"4I15/2","4I11/2",26,8,6530.,2071.,2242.2,0.7,0.000887,1120.
"4I15/2","4I11/2",26,9,6530.,2090.,2251.9,0.7,0.00596,167.
"4I15/2","4I11/2",26,10,6530.,2194.,2305.8,0.7,0.00019,5250.
"4I15/2","4I11/2",26,11,6530.,2227.,2323.6,0.7,0.000422,2360.
"4I15/2","4I13/2",26,12,6530.,3903.,3805.,2.,0.00246,404.
"4I15/2","4I13/2",26,13,6530.,3970.,3905.,2.,0.000336,2970.
"4I15/2","4I13/2",26,14,6530.,4033.,4005.,2.,0.00341,292.
"4I15/2","4I13/2",26,15,6530.,4087.,4093.,2.,0.00027,3700.
"4I15/2","4I13/2",26,16,6530.,4116.,4141.,2.,0.000168,5940.
"4I15/2","4I13/2",26,17,6530.,4206.,4301.,2.,0.000851,1170.
"4I15/2","4I13/2",26,18,6530.,4267.,4418.,2.,0.00428,233.
"4I15/2","4I15/2",26,19,6530.,5796.,13610.,20.,0.0082,121.
"4I15/2","4I15/2",26,20,6530.,5864.,14990.,30.,0.00897,111.
"4I15/2","4I15/2",26,21,6530.,5991.,18540.,40.,0.00109,912.
"4I15/2","4I15/2",26,22,6530.,6155.,26600.,100.,0.000253,3940.
"4I15/2","4I15/2",26,23,6530.,6177.,28300.,100.,0.000198,5040.
"4I15/2","4I15/2",26,24,6530.,6305.,44300.,200.,0.000973,1020.
"4I15/2","4I15/2",26,25,6530.,6437.,106000.,1000.,0.0000429,23200.
"4F3/2","4I9/2",27,1,11599.,0.,862.1,0.1,0.00981,101.
"4F3/2","4I9/2",27,2,11599.,44.,865.4,0.1,0.000789,1260.
"4F3/2","4I9/2",27,3,11599.,148.,873.3,0.1,0.00907,110.
"4F3/2","4I9/2",27,4,11599.,299.,884.9,0.1,0.0373,26.7
"4F3/2","4I9/2",27,5,11599.,508.,901.6,0.1,0.000859,1160.
"4F3/2","4I11/2",27,6,11599.,1965.,1038.,0.1,0.11,9.04
"4F3/2","4I11/2",27,7,11599.,2027.,1044.7,0.1,0.00542,184.
"4F3/2","4I11/2",27,8,11599.,2071.,1049.5,0.1,0.0341,29.2
"4F3/2","4I11/2",27,9,11599.,2090.,1051.6,0.1,0.0337,29.6
"4F3/2","4I11/2",27,10,11599.,2194.,1063.2,0.1,0.000554,1800.
"4F3/2","4I11/2",27,11,11599.,2227.,1067.,0.1,0.0175,57.1
"4F3/2","4I13/2",27,12,11599.,3903.,1299.3,0.2,0.00159,627.
