"ψi:simple","ψf:simple","ψi:idx","ψf:idx","Ei/K","Ef/K","λ/nm","Δλ/nm","τ*n^3/s","AMD/n^3/s^-1"
"4I9/2","4I9/2",2,1,47.,0.,210000.,80000.,7.57e-7,1.31e6
"4I9/2","4I9/2",3,1,149.,0.,66000.,8000.,0.00026,3840.
"4I9/2","4I9/2",3,2,149.,47.,90000.,10000.,5.45e-6,183000.
"4I9/2","4I9/2",4,1,300.,0.,33000.,2000.,0.001,997.
"4I9/2","4I9/2",4,2,300.,47.,39000.,2000.,0.000223,4470.
"4I9/2","4I9/2",4,3,300.,149.,66000.,8000.,0.000253,3940.
"4I9/2","4I9/2",5,1,508.,0.,19600.,700.,0.00275,363.
"4I9/2","4I9/2",5,2,508.,47.,21600.,800.,0.00736,135.
"4I9/2","4I9/2",5,3,508.,149.,27000.,1000.,0.00243,410.
"4I9/2","4I9/2",5,4,508.,300.,48000.,4000.,0.0000244,40800.
"4I11/2","4I9/2",6,1,1975.,0.,5060.,40.,0.138,7.24
"4I11/2","4I9/2",6,2,1975.,47.,5180.,40.,0.00821,121.
"4I11/2","4I9/2",6,3,1975.,149.,5470.,50.,0.0794,12.5
"4I11/2","4I9/2",6,4,1975.,300.,5960.,60.,0.0124,80.1
"4I11/2","4I9/2",6,5,1975.,508.,6810.,80.,0.0000545,18300.
"4I11/2","4I9/2",7,1,2038.,0.,4900.,40.,0.0454,21.9
"4I11/2","4I9/2",7,2,2038.,47.,5020.,40.,0.204,4.89
"4I11/2","4I9/2",7,3,2038.,149.,5290.,50.,0.0609,16.4
"4I11/2","4I9/2",7,4,2038.,300.,5750.,60.,0.000404,2470.
"4I11/2","4I9/2",7,5,2038.,508.,6530.,70.,0.00935,106.
"4I11/2","4I11/2",7,6,2038.,1975.,150000.,40000.,8.17e-7,1.22e6
"4I11/2","4I9/2",8,1,2081.,0.,4800.,40.,0.148,6.72
"4I11/2","4I9/2",8,2,2081.,47.,4910.,40.,0.0274,36.3
"4I11/2","4I9/2",8,3,2081.,149.,5170.,40.,0.0204,48.9
"4I11/2","4I9/2",8,4,2081.,300.,5610.,50.,0.0488,20.4
"4I11/2","4I9/2",8,5,2081.,508.,6350.,70.,0.00604,165.
"4I11/2","4I11/2",8,6,2081.,1975.,90000.,10000.,7.03e-6,142000.
"4I11/2","4I11/2",8,7,2081.,2038.,200000.,100000.,9.05e-6,110000.
"4I11/2","4I9/2",9,1,2100.,0.,4760.,40.,0.0092,108.
"4I11/2","4I9/2",9,2,2100.,47.,4870.,40.,0.000158,6310.
"4I11/2","4I9/2",9,3,2100.,149.,5120.,40.,0.0329,30.3
"4I11/2","4I9/2",9,4,2100.,300.,5550.,50.,0.147,6.78
"4I11/2","4I9/2",9,5,2100.,508.,6280.,70.,0.000569,1750.
"4I11/2","4I11/2",9,6,2100.,1975.,80000.,10000.,0.0000197,50600.
"4I11/2","4I11/2",9,7,2100.,2038.,160000.,40000.,2.12e-6,470000.
"4I11/2","4I11/2",9,8,2100.,2081.,500000.,400000.,1.47e-6,678000.
"4I11/2","4I9/2",10,1,2203.,0.,4530.,30.,0.0311,32.1
"4I11/2","4I9/2",10,2,2203.,47.,4630.,30.,0.0124,80.5
"4I11/2","4I9/2",10,3,2203.,149.,4860.,40.,0.00787,127.
"4I11/2","4I9/2",10,4,2203.,300.,5250.,50.,0.000159,6260.
"4I11/2","4I9/2",10,5,2203.,508.,5890.,60.,0.0454,21.9
"4I11/2","4I11/2",10,6,2203.,1975.,43000.,3000.,0.0001,9970.
"4I11/2","4I11/2",10,7,2203.,2038.,60000.,6000.,0.00039,2560.
"4I11/2","4I11/2",10,8,2203.,2081.,80000.,10000.,1.53e-6,653000.
"4I11/2","4I11/2",10,9,2203.,2100.,90000.,10000.,0.0000127,78200.
"4I11/2","4I9/2",11,1,2236.,0.,4470.,30.,0.0638,15.6
"4I11/2","4I9/2",11,2,2236.,47.,4560.,30.,0.0000544,18300.
"4I11/2","4I9/2",11,3,2236.,149.,4790.,40.,0.00655,152.
"4I11/2","4I9/2",11,4,2236.,300.,5160.,40.,0.00312,319.
"4I11/2","4I9/2",11,5,2236.,508.,5780.,60.,0.0567,17.6
"4I11/2","4I11/2",11,6,2236.,1975.,38000.,2000.,0.00111,895.
"4I11/2","4I11/2",11,7,2236.,2038.,50000.,4000.,7.62e-7,1.31e6
"4I11/2","4I11/2",11,8,2236.,2081.,64000.,7000.,0.0000339,29400.
"4I11/2","4I11/2",11,9,2236.,2100.,73000.,9000.,0.0000363,27500.
"4I11/2","4I11/2",11,10,2236.,2203.,300000.,100000.,6.19e-6,161000.
"4I13/2","4I9/2",12,1,3914.,0.,2550.,10.,0.00154,649.
"4I13/2","4I9/2",12,2,3914.,47.,2580.,10.,0.00248,402.
"4I13/2","4I9/2",12,3,3914.,149.,2650.,10.,0.00206,483.
"4I13/2","4I9/2",12,4,3914.,300.,2760.,10.,0.0116,86.1
"4I13/2","4I9/2",12,5,3914.,508.,2930.,10.,0.000858,1160.
"4I13/2","4I11/2",12,6,3914.,1975.,5150.,40.,0.292,3.42
"4I13/2","4I11/2",12,7,3914.,2038.,5330.,50.,0.0233,42.8
"4I13/2","4I11/2",12,8,3914.,2081.,5450.,50.,0.00759,131.
"4I13/2","4I11/2",12,9,3914.,2100.,5510.,50.,0.00165,604.
"4I13/2","4I11/2",12,10,3914.,2203.,5840.,60.,0.000939,1060.
"4I13/2","4I11/2",12,11,3914.,2236.,5960.,60.,0.000106,9400.
"4I13/2","4I9/2",13,1,3982.,0.,2510.,10.,0.0127,78.6
"4I13/2","4I9/2",13,2,3982.,47.,2540.,10.,0.00541,184.
"4I13/2","4I9/2",13,3,3982.,149.,2600.,10.,0.0021,475.
"4I13/2","4I9/2",13,4,3982.,300.,2710.,10.,0.00083,1200.
"4I13/2","4I9/2",13,5,3982.,508.,2870.,10.,0.0028,356.
"4I13/2","4I11/2",13,6,3982.,1975.,4980.,40.,0.000819,1210.
"4I13/2","4I11/2",13,7,3982.,2038.,5140.,40.,0.328,3.04
"4I13/2","4I11/2",13,8,3982.,2081.,5250.,50.,0.112,8.88
"4I13/2","4I11/2",13,9,3982.,2100.,5310.,50.,0.00124,804.
"4I13/2","4I11/2",13,10,3982.,2203.,5620.,50.,0.00974,102.
"4I13/2","4I11/2",13,11,3982.,2236.,5720.,60.,0.00339,294.
"4I13/2","4I13/2",13,12,3982.,3914.,140000.,30000.,1.36e-6,731000.
"4I13/2","4I9/2",14,1,4045.,0.,2470.,10.,0.00123,807.
"4I13/2","4I9/2",14,2,4045.,47.,2500.,10.,0.0099,100.
"4I13/2","4I9/2",14,3,4045.,149.,2560.,10.,0.0223,44.8
"4I13/2","4I9/2",14,4,4045.,300.,2670.,10.,0.00573,174.
"4I13/2","4I9/2",14,5,4045.,508.,2820.,10.,0.000346,2880.
"4I13/2","4I11/2",14,6,4045.,1975.,4830.,40.,0.00765,130.
"4I13/2","4I11/2",14,7,4045.,2038.,4980.,40.,0.0657,15.2
"4I13/2","4I11/2",14,8,4045.,2081.,5090.,40.,0.245,4.06
"4I13/2","4I11/2",14,9,4045.,2100.,5140.,40.,0.014,70.9
"4I13/2","4I11/2",14,10,4045.,2203.,5420.,50.,0.0258,38.6
"4I13/2","4I11/2",14,11,4045.,2236.,5520.,50.,0.0182,54.7
"4I13/2","4I13/2",14,12,4045.,3914.,70000.,10000.,0.0000329,30300.
"4I13/2","4I13/2",14,13,4045.,3982.,150000.,40000.,0.0000719,13800.
"4I13/2","4I9/2",15,1,4099.,0.,2430.,10.,0.000452,2210.
"4I13/2","4I9/2",15,2,4099.,47.,2460.,10.,0.000975,1020.
"4I13/2","4I9/2",15,3,4099.,149.,2530.,10.,0.0159,62.8
"4I13/2","4I9/2",15,4,4099.,300.,2630.,10.,0.00551,181.
"4I13/2","4I9/2",15,5,4099.,508.,2780.,10.,0.0000339,29400.
"4I13/2","4I11/2",15,6,4099.,1975.,4700.,40.,0.000252,3960.
"4I13/2","4I11/2",15,7,4099.,2038.,4850.,40.,0.00282,353.
"4I13/2","4I11/2",15,8,4099.,2081.,4950.,40.,0.025,39.9
"4I13/2","4I11/2",15,9,4099.,2100.,5000.,40.,0.00342,291.
"4I13/2","4I11/2",15,10,4099.,2203.,5270.,50.,0.00267,374.
"4I13/2","4I11/2",15,11,4099.,2236.,5360.,50.,0.0133,75.1
"4I13/2","4I13/2",15,12,4099.,3914.,54000.,5000.,0.000048,20800.
"4I13/2","4I13/2",15,13,4099.,3982.,80000.,10000.,0.0000333,29900.
"4I13/2","4I13/2",15,14,4099.,4045.,180000.,60000.,0.0000591,16800.
"4I13/2","4I9/2",16,1,4127.,0.,2420.,10.,0.00431,231.
"4I13/2","4I9/2",16,2,4127.,47.,2450.,10.,0.0123,80.8
"4I13/2","4I9/2",16,3,4127.,149.,2510.,10.,0.0075,133.
"4I13/2","4I9/2",16,4,4127.,300.,2610.,10.,0.00673,148.
"4I13/2","4I9/2",16,5,4127.,508.,2760.,10.,0.00789,126.
"4I13/2","4I11/2",16,6,4127.,1975.,4640.,30.,0.00401,249.
"4I13/2","4I11/2",16,7,4127.,2038.,4780.,40.,0.0931,10.7
"4I13/2","4I11/2",16,8,4127.,2081.,4880.,40.,0.0103,96.8
"4I13/2","4I11/2",16,9,4127.,2100.,4930.,40.,0.000709,1400.
"4I13/2","4I11/2",16,10,4127.,2203.,5190.,40.,0.0674,14.8
"4I13/2","4I11/2",16,11,4127.,2236.,5280.,50.,0.0334,29.9
"4I13/2","4I13/2",16,12,4127.,3914.,46000.,4000.,0.0000882,11300.
"4I13/2","4I13/2",16,13,4127.,3982.,69000.,8000.,0.000174,5740.
"4I13/2","4I13/2",16,14,4127.,4045.,120000.,20000.,1.e-6,990000.
"4I13/2","4I13/2",16,15,4127.,4099.,300000.,200000.,7.9e-9,1.26e8
"4I13/2","4I9/2",17,1,4217.,0.,2370.,10.,0.00018,5520.
"4I13/2","4I9/2",17,2,4217.,47.,2390.,10.,0.00567,176.
"4I13/2","4I9/2",17,3,4217.,149.,2450.,10.,0.0247,40.4
"4I13/2","4I9/2",17,4,4217.,300.,2550.,10.,0.0044,226.
"4I13/2","4I9/2",17,5,4217.,508.,2690.,10.,0.0282,35.3
"4I13/2","4I11/2",17,6,4217.,1975.,4460.,30.,0.0293,34.
"4I13/2","4I11/2",17,7,4217.,2038.,4580.,30.,0.00177,563.
"4I13/2","4I11/2",17,8,4217.,2081.,4680.,40.,0.00369,270.
"4I13/2","4I11/2",17,9,4217.,2100.,4720.,40.,0.0171,58.2
"4I13/2","4I11/2",17,10,4217.,2203.,4960.,40.,0.119,8.38
"4I13/2","4I11/2",17,11,4217.,2236.,5040.,40.,0.0599,16.6
"4I13/2","4I13/2",17,12,4217.,3914.,33000.,2000.,0.000204,4880.
"4I13/2","4I13/2",17,13,4217.,3982.,42000.,3000.,0.0000463,21500.
"4I13/2","4I13/2",17,14,4217.,4045.,58000.,6000.,6.91e-6,144000.
"4I13/2","4I13/2",17,15,4217.,4099.,80000.,10000.,0.0000277,36000.
"4I13/2","4I13/2",17,16,4217.,4127.,110000.,20000.,0.000238,4190.
"4I13/2","4I9/2",18,1,4278.,0.,2330.,10.,0.0105,94.5
"4I13/2","4I9/2",18,2,4278.,47.,2360.,10.,0.000137,7260.
"4I13/2","4I9/2",18,3,4278.,149.,2420.,10.,0.00341,293.
"4I13/2","4I9/2",18,4,4278.,300.,2510.,10.,0.0464,21.5
"4I13/2","4I9/2",18,5,4278.,508.,2650.,10.,0.00151,660.
"4I13/2","4I11/2",18,6,4278.,1975.,4340.,30.,0.00315,316.
"4I13/2","4I11/2",18,7,4278.,2038.,4460.,30.,0.000524,1900.
"4I13/2","4I11/2",18,8,4278.,2081.,4550.,30.,0.00063,1580.
"4I13/2","4I11/2",18,9,4278.,2100.,4590.,30.,0.00854,117.
"4I13/2","4I11/2",18,10,4278.,2203.,4820.,40.,0.000331,3010.
"4I13/2","4I11/2",18,11,4278.,2236.,4890.,40.,0.0597,16.7
"4I13/2","4I13/2",18,12,4278.,3914.,27000.,1000.,0.00374,267.
"4I13/2","4I13/2",18,13,4278.,3982.,33000.,2000.,0.000169,5890.
"4I13/2","4I13/2",18,14,4278.,4045.,42000.,3000.,0.0000509,19600.
"4I13/2","4I13/2",18,15,4278.,4099.,56000.,5000.,0.0000715,13900.
"4I13/2","4I13/2",18,16,4278.,4127.,66000.,8000.,3.13e-6,319000.
"4I13/2","4I13/2",18,17,4278.,4217.,160000.,40000.,0.0000659,15100.
"4I15/2","4I9/2",19,1,5802.,0.,1723.,5.,0.000138,7210.
"4I15/2","4I9/2",19,2,5802.,47.,1737.,5.,0.00129,773.
"4I15/2","4I9/2",19,3,5802.,149.,1768.,5.,0.00187,534.
"4I15/2","4I9/2",19,4,5802.,300.,1817.,6.,0.0000864,11500.
"4I15/2","4I9/2",19,5,5802.,508.,1888.,6.,0.0000708,14100.
"4I15/2","4I11/2",19,6,5802.,1975.,2610.,10.,0.00125,798.
"4I15/2","4I11/2",19,7,5802.,2038.,2650.,10.,0.00411,242.
"4I15/2","4I11/2",19,8,5802.,2081.,2680.,10.,0.00132,753.
"4I15/2","4I11/2",19,9,5802.,2100.,2700.,10.,0.000219,4540.
"4I15/2","4I11/2",19,10,5802.,2203.,2770.,10.,0.00291,342.
"4I15/2","4I11/2",19,11,5802.,2236.,2800.,10.,0.00116,854.
"4I15/2","4I13/2",19,12,5802.,3914.,5290.,50.,0.161,6.19
"4I15/2","4I13/2",19,13,5802.,3982.,5490.,50.,0.0642,15.5
"4I15/2","4I13/2",19,14,5802.,4045.,5690.,50.,0.00864,115.
"4I15/2","4I13/2",19,15,5802.,4099.,5870.,60.,0.0000362,27500.
"4I15/2","4I13/2",19,16,5802.,4127.,5960.,60.,0.000741,1340.
"4I15/2","4I13/2",19,17,5802.,4217.,6300.,70.,0.0027,370.
"4I15/2","4I13/2",19,18,5802.,4278.,6550.,70.,0.000178,5610.
"4I15/2","4I9/2",20,1,5871.,0.,1703.,5.,0.00072,1380.
"4I15/2","4I9/2",20,2,5871.,47.,1717.,5.,0.00189,526.
"4I15/2","4I9/2",20,3,5871.,149.,1747.,5.,0.000545,1830.
"4I15/2","4I9/2",20,4,5871.,300.,1795.,5.,0.000458,2170.
"4I15/2","4I9/2",20,5,5871.,508.,1864.,6.,0.000237,4200.
"4I15/2","4I11/2",20,6,5871.,1975.,2560.,10.,0.000419,2380.
"4I15/2","4I11/2",20,7,5871.,2038.,2600.,10.,0.0121,82.3
"4I15/2","4I11/2",20,8,5871.,2081.,2630.,10.,0.00606,164.
"4I15/2","4I11/2",20,9,5871.,2100.,2650.,10.,0.000335,2970.
"4I15/2","4I11/2",20,10,5871.,2203.,2720.,10.,0.00817,122.
"4I15/2","4I11/2",20,11,5871.,2236.,2750.,10.,0.00221,451.
"4I15/2","4I13/2",20,12,5871.,3914.,5110.,40.,0.0806,12.3
"4I15/2","4I13/2",20,13,5871.,3982.,5290.,50.,0.131,7.62
"4I15/2","4I13/2",20,14,5871.,4045.,5470.,50.,0.00684,146.
"4I15/2","4I13/2",20,15,5871.,4099.,5640.,50.,0.000391,2550.
"4I15/2","4I13/2",20,16,5871.,4127.,5730.,60.,0.00254,393.
"4I15/2","4I13/2",20,17,5871.,4217.,6040.,60.,0.000202,4930.
"4I15/2","4I13/2",20,18,5871.,4278.,6270.,70.,0.0000965,10300.
"4I15/2","4I15/2",20,19,5871.,5802.,140000.,30000.,0.0000233,42800.
"4I15/2","4I9/2",21,1,5998.,0.,1667.,5.,0.0000104,95300.
"4I15/2","4I9/2",21,2,5998.,47.,1680.,5.,0.000594,1680.
"4I15/2","4I9/2",21,3,5998.,149.,1709.,5.,0.000546,1830.
"4I15/2","4I9/2",21,4,5998.,300.,1755.,5.,0.00014,7120.
"4I15/2","4I9/2",21,5,5998.,508.,1821.,6.,0.00033,3020.
"4I15/2","4I11/2",21,6,5998.,1975.,2480.,10.,0.0245,40.7
"4I15/2","4I11/2",21,7,5998.,2038.,2520.,10.,0.00469,212.
"4I15/2","4I11/2",21,8,5998.,2081.,2550.,10.,0.0134,74.2
"4I15/2","4I11/2",21,9,5998.,2100.,2560.,10.,0.00191,520.
"4I15/2","4I11/2",21,10,5998.,2203.,2630.,10.,0.0000685,14500.
"4I15/2","4I11/2",21,11,5998.,2236.,2650.,10.,0.00495,201.
"4I15/2","4I13/2",21,12,5998.,3914.,4790.,40.,0.00252,395.
"4I15/2","4I13/2",21,13,5998.,3982.,4960.,40.,0.0469,21.3
"4I15/2","4I13/2",21,14,5998.,4045.,5120.,40.,0.00214,465.
"4I15/2","4I13/2",21,15,5998.,4099.,5260.,50.,0.00294,339.
"4I15/2","4I13/2",21,16,5998.,4127.,5340.,50.,0.0582,17.1
"4I15/2","4I13/2",21,17,5998.,4217.,5610.,50.,0.000256,3890.
"4I15/2","4I13/2",21,18,5998.,4278.,5810.,60.,0.00046,2170.
"4I15/2","4I15/2",21,19,5998.,5802.,51000.,4000.,0.00171,582.
"4I15/2","4I15/2",21,20,5998.,5871.,70000.,10000.,0.000663,1500.
"4I15/2","4I9/2",22,1,6162.,0.,1622.,4.,0.000628,1590.
"4I15/2","4I9/2",22,2,6162.,47.,1635.,4.,0.0000269,37100.
"4I15/2","4I9/2",22,3,6162.,149.,1663.,5.,0.00126,791.
"4I15/2","4I9/2",22,4,6162.,300.,1706.,5.,0.00127,783.
"4I15/2","4I9/2",22,5,6162.,508.,1768.,5.,0.00137,729.
"4I15/2","4I11/2",22,6,6162.,1975.,2380.,10.,0.000664,1500.
"4I15/2","4I11/2",22,7,6162.,2038.,2420.,10.,0.00589,169.
"4I15/2","4I11/2",22,8,6162.,2081.,2450.,10.,0.00433,230.
"4I15/2","4I11/2",22,9,6162.,2100.,2460.,10.,0.00243,410.
"4I15/2","4I11/2",22,10,6162.,2203.,2520.,10.,0.00074,1340.
"4I15/2","4I11/2",22,11,6162.,2236.,2540.,10.,0.00273,366.
"4I15/2","4I13/2",22,12,6162.,3914.,4440.,30.,0.00453,220.
"4I15/2","4I13/2",22,13,6162.,3982.,4580.,30.,0.00484,206.
"4I15/2","4I13/2",22,14,6162.,4045.,4720.,40.,0.0185,53.8
"4I15/2","4I13/2",22,15,6162.,4099.,4840.,40.,0.0102,97.4
"4I15/2","4I13/2",22,16,6162.,4127.,4910.,40.,0.116,8.57
"4I15/2","4I13/2",22,17,6162.,4217.,5140.,40.,0.0168,59.2
"4I15/2","4I13/2",22,18,6162.,4278.,5300.,50.,0.00141,708.
"4I15/2","4I15/2",22,19,6162.,5802.,27000.,1000.,0.000234,4260.
"4I15/2","4I15/2",22,20,6162.,5871.,34000.,2000.,0.00197,507.
"4I15/2","4I15/2",22,21,6162.,5998.,61000.,6000.,0.000793,1260.
"4I15/2","4I9/2",23,1,6183.,0.,1617.,4.,0.00222,450.
"4I15/2","4I9/2",23,2,6183.,47.,1629.,4.,0.00178,559.
"4I15/2","4I9/2",23,3,6183.,149.,1657.,5.,0.00159,626.
"4I15/2","4I9/2",23,4,6183.,300.,1699.,5.,0.00252,396.
"4I15/2","4I9/2",23,5,6183.,508.,1762.,5.,0.00142,703.
"4I15/2","4I11/2",23,6,6183.,1975.,2370.,10.,0.00467,214.
"4I15/2","4I11/2",23,7,6183.,2038.,2410.,10.,0.00448,223.
"4I15/2","4I11/2",23,8,6183.,2081.,2430.,10.,0.00206,485.
"4I15/2","4I11/2",23,9,6183.,2100.,2440.,10.,0.000555,1800.
"4I15/2","4I11/2",23,10,6183.,2203.,2510.,10.,0.000116,8610.
"4I15/2","4I11/2",23,11,6183.,2236.,2530.,10.,0.00214,466.
"4I15/2","4I13/2",23,12,6183.,3914.,4400.,30.,0.0086,116.
"4I15/2","4I13/2",23,13,6183.,3982.,4540.,30.,0.00136,733.
"4I15/2","4I13/2",23,14,6183.,4045.,4670.,40.,0.0311,32.
"4I15/2","4I13/2",23,15,6183.,4099.,4790.,40.,0.00223,446.
"4I15/2","4I13/2",23,16,6183.,4127.,4860.,40.,0.0373,26.8
"4I15/2","4I13/2",23,17,6183.,4217.,5080.,40.,0.000748,1330.
"4I15/2","4I13/2",23,18,6183.,4278.,5240.,50.,0.001,995.
"4I15/2","4I15/2",23,19,6183.,5802.,26000.,1000.,0.00338,295.
"4I15/2","4I15/2",23,20,6183.,5871.,32000.,1000.,0.0000804,12400.
"4I15/2","4I15/2",23,21,6183.,5998.,54000.,5000.,0.00141,706.
"4I15/2","4I15/2",23,22,6183.,6162.,400000.,400000.,1.67e-6,598000.
"4I15/2","4I9/2",24,1,6312.,0.,1584.,4.,0.00165,605.
"4I15/2","4I9/2",24,2,6312.,47.,1596.,4.,7.59e-6,131000.
"4I15/2","4I9/2",24,3,6312.,149.,1622.,4.,9.97e-6,100000.
"4I15/2","4I9/2",24,4,6312.,300.,1663.,5.,0.0000697,14300.
"4I15/2","4I9/2",24,5,6312.,508.,1723.,5.,0.00088,1130.
"4I15/2","4I11/2",24,6,6312.,1975.,2306.,9.,0.0163,61.3
"4I15/2","4I11/2",24,7,6312.,2038.,2330.,10.,0.000174,5730.
"4I15/2","4I11/2",24,8,6312.,2081.,2360.,10.,0.00788,126.
"4I15/2","4I11/2",24,9,6312.,2100.,2370.,10.,0.00354,282.
"4I15/2","4I11/2",24,10,6312.,2203.,2430.,10.,0.0148,67.3
"4I15/2","4I11/2",24,11,6312.,2236.,2450.,10.,0.000532,1870.
"4I15/2","4I13/2",24,12,6312.,3914.,4170.,30.,0.00709,140.
"4I15/2","4I13/2",24,13,6312.,3982.,4290.,30.,0.00261,382.
"4I15/2","4I13/2",24,14,6312.,4045.,4410.,30.,0.00181,551.
"4I15/2","4I13/2",24,15,6312.,4099.,4510.,30.,0.0265,37.6
"4I15/2","4I13/2",24,16,6312.,4127.,4570.,30.,0.0834,11.9
"4I15/2","4I13/2",24,17,6312.,4217.,4770.,40.,0.0247,40.4
"4I15/2","4I13/2",24,18,6312.,4278.,4910.,40.,0.00791,126.
"4I15/2","4I15/2",24,19,6312.,5802.,19600.,700.,0.00112,891.
"4I15/2","4I15/2",24,20,6312.,5871.,22600.,900.,0.00087,1140.
"4I15/2","4I15/2",24,21,6312.,5998.,31000.,1000.,0.00941,106.
"4I15/2","4I15/2",24,22,6312.,6162.,66000.,8000.,0.000339,2940.
"4I15/2","4I15/2",24,23,6312.,6183.,70000.,10000.,0.000258,3860.
"4I15/2","4I9/2",25,1,6443.,0.,1552.,4.,0.000149,6690.
"4I15/2","4I9/2",25,2,6443.,47.,1563.,4.,0.000473,2110.
"4I15/2","4I9/2",25,3,6443.,149.,1588.,4.,0.00232,429.
"4I15/2","4I9/2",25,4,6443.,300.,1627.,4.,0.00142,704.
"4I15/2","4I9/2",25,5,6443.,508.,1684.,5.,0.00083,1200.
"4I15/2","4I11/2",25,6,6443.,1975.,2238.,9.,0.00186,535.
"4I15/2","4I11/2",25,7,6443.,2038.,2270.,9.,0.0000858,11600.
"4I15/2","4I11/2",25,8,6443.,2081.,2292.,9.,0.0000142,70400.
"4I15/2","4I11/2",25,9,6443.,2100.,2302.,9.,0.0345,28.9
"4I15/2","4I11/2",25,10,6443.,2203.,2350.,10.,0.0000125,79400.
"4I15/2","4I11/2",25,11,6443.,2236.,2370.,10.,0.0106,94.1
"4I15/2","4I13/2",25,12,6443.,3914.,3950.,20.,0.0397,25.1
"4I15/2","4I13/2",25,13,6443.,3982.,4060.,30.,0.00445,224.
"4I15/2","4I13/2",25,14,6443.,4045.,4170.,30.,0.0026,383.
"4I15/2","4I13/2",25,15,6443.,4099.,4260.,30.,0.00554,180.
"4I15/2","4I13/2",25,16,6443.,4127.,4310.,30.,0.000512,1950.
"4I15/2","4I13/2",25,17,6443.,4217.,4490.,30.,0.0309,32.3
"4I15/2","4I13/2",25,18,6443.,4278.,4610.,30.,0.0463,21.5
"4I15/2","4I15/2",25,19,6443.,5802.,15600.,400.,0.000461,2160.
"4I15/2","4I15/2",25,20,6443.,5871.,17400.,500.,0.0035,284.
"4I15/2","4I15/2",25,21,6443.,5998.,22400.,900.,0.00364,274.
"4I15/2","4I15/2",25,22,6443.,6162.,35000.,2000.,0.0021,475.
"4I15/2","4I15/2",25,23,6443.,6183.,38000.,2000.,0.00667,149.
"4I15/2","4I15/2",25,24,6443.,6312.,70000.,10000.,0.000793,1260.
"4I15/2","4I9/2",26,1,6536.,0.,1530.,4.,0.0000513,19400.
"4I15/2","4I9/2",26,2,6536.,47.,1541.,4.,0.000165,6030.
"4I15/2","4I9/2",26,3,6536.,149.,1565.,4.,0.000568,1750.
"4I15/2","4I9/2",26,4,6536.,300.,1603.,4.,0.00773,129.
"4I15/2","4I9/2",26,5,6536.,508.,1659.,5.,0.0000432,23100.
"4I15/2","4I11/2",26,6,6536.,1975.,2192.,8.,0.00776,128.
"4I15/2","4I11/2",26,7,6536.,2038.,2223.,9.,0.000421,2370.
"4I15/2","4I11/2",26,8,6536.,2081.,2244.,9.,0.00175,570.
"4I15/2","4I11/2",26,9,6536.,2100.,2254.,9.,0.0000341,29300.
"4I15/2","4I11/2",26,10,6536.,2203.,2308.,9.,0.00213,468.
"4I15/2","4I11/2",26,11,6536.,2236.,2326.,9.,0.000852,1170.
"4I15/2","4I13/2",26,12,6536.,3914.,3810.,20.,0.00336,297.
"4I15/2","4I13/2",26,13,6536.,3982.,3910.,20.,0.000648,1540.
"4I15/2","4I13/2",26,14,6536.,4045.,4010.,20.,0.00223,447.
"4I15/2","4I13/2",26,15,6536.,4099.,4100.,30.,0.000529,1880.
"4I15/2","4I13/2",26,16,6536.,4127.,4150.,30.,0.00036,2770.
"4I15/2","4I13/2",26,17,6536.,4217.,4310.,30.,0.00171,582.
"4I15/2","4I13/2",26,18,6536.,4278.,4420.,30.,0.00821,121.
"4I15/2","4I15/2",26,19,6536.,5802.,13600.,300.,0.0169,59.
"4I15/2","4I15/2",26,20,6536.,5871.,15000.,400.,0.0179,55.6
"4I15/2","4I15/2",26,21,6536.,5998.,18600.,600.,0.00213,468.
"4I15/2","4I15/2",26,22,6536.,6162.,26000.,1000.,0.0007,1420.
"4I15/2","4I15/2",26,23,6536.,6183.,28000.,1000.,0.000353,2830.
"4I15/2","4I15/2",26,24,6536.,6312.,44000.,3000.,0.000604,1650.
"4I15/2","4I15/2",26,25,6536.,6443.,100000.,20000.,0.000525,1900.
"4F3/2","4I9/2",27,1,11600.,0.,862.,1.,0.0049,203.
"4F3/2","4I9/2",27,2,11600.,47.,865.,1.,0.00188,530.
"4F3/2","4I9/2",27,3,11600.,149.,873.,1.,0.00313,319.
"4F3/2","4I9/2",27,4,11600.,300.,884.,1.,0.0735,13.5
"4F3/2","4I9/2",27,5,11600.,508.,901.,1.,0.00143,698.
"4F3/2","4I11/2",27,6,11600.,1975.,1039.,1.,0.0078,128.
"4F3/2","4I11/2",27,7,11600.,2038.,1045.,2.,0.0112,88.9
"4F3/2","4I11/2",27,8,11600.,2081.,1050.,2.,0.0651,15.3
"4F3/2","4I11/2",27,9,11600.,2100.,1052.,2.,0.0143,69.4
"4F3/2","4I11/2",27,10,11600.,2203.,1064.,2.,0.0166,60.
"4F3/2","4I11/2",27,11,11600.,2236.,1067.,2.,0.0341,29.2
"4F3/2","4I13/2",27,12,11600.,3914.,1301.,3.,0.000618,1610.
"4F3/2","4I13/2",27,13,11600.,3982.,1312.,3.,0.0114,87.1
"4F3/2","4I13/2",27,14,11600.,4045.,1323.,3.,0.00616,162.
"4F3/2","4I13/2",27,15,11600.,4099.,1333.,3.,0.00282,354.
"4F3/2","4I13/2",27,16,11600.,4127.,1338.,3.,0.00462,216.
"4F3/2","4I13/2",27,17,11600.,4217.,1354.,3.,0.000493,2020.
"4F3/2","4I13/2",27,18,11600.,4278.,1365.,3.,0.000884,1130.
